ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,7,32,30.10,-9.56
0,7,96,39.65,-0.52
0,7,160,44.08,3.78
0,7,224,47.00,6.68
0,7,288,49.19,8.79
0,7,352,50.93,10.58
0,7,416,52.38,12.10
0,7,480,53.62,13.35
0,7,544,54.71,14.41
0,7,608,55.68,15.35
0,7,672,56.55,16.20
0,7,736,57.34,16.90
0,7,800,58.06,17.69
0,7,864,58.73,18.36
0,7,928,59.35,18.97
0,7,992,59.93,19.52
0,7,1056,60.47,20.08
0,7,1120,60.98,20.61
0,7,1184,61.47,21.14
0,7,1248,61.92,21.44
0,7,1312,62.36,21.97
0,7,1376,62.77,22.44
0,7,1440,63.17,22.88
0,7,1504,63.54,23.28
0,7,1568,63.91,23.63
0,7,1632,64.25,24.02
0,7,1696,64.59,24.36
0,7,1760,64.91,24.66
0,7,1824,65.22,24.72
0,7,1888,65.52,25.13
0,7,1952,65.81,25.47
0,7,2016,66.09,25.72
0,7,2080,66.36,26.14
0,7,2144,66.62,26.21
0,7,2208,66.88,26.25
0,7,2272,67.13,26.25
0,7,2336,67.37,26.24
0,7,2400,67.60,26.24
0,7,2464,67.83,26.24
0,7,2528,68.06,26.24
0,7,2592,68.27,26.24
0,7,2656,68.48,26.24
0,7,2720,68.69,26.24
0,7,2784,68.89,26.24
0,7,2848,69.09,26.24
0,7,2912,69.28,26.24
0,7,2976,69.47,26.24
0,7,3040,69.66,26.23
0,7,3104,69.84,26.24
0,7,3168,70.02,26.23
0,7,3232,70.19,26.23
0,7,3296,70.36,26.23
0,7,3360,70.53,26.23
0,7,3424,70.69,26.23
0,7,3488,70.85,26.23
0,7,3552,71.01,26.23
0,7,3616,71.16,26.23
0,7,3680,71.32,26.23
0,7,3744,71.47,26.23
0,7,3808,71.61,26.23
0,7,3872,71.76,26.23
0,7,3936,71.90,26.23
0,7,4000,72.04,26.23
0,7,4064,72.18,26.23
